"length"	"gene_num"	"phyla"	"in_num"	"out_num"	"quality"	"mro"	"mip"
"21040806G4B_bins.107.trim"	2334507	2080	"p__Bacillota_A"	141	21	85.93	0.544209844607488	1.26147978642258
"21040806G4B_bins.121.trim"	2678702	2109	"p__Bacteroidota"	102	29	73.25	0.530301167480368	2.43768115942029
"21040901G6A_bins.59.trim"	2125506	2040	"p__Bacillota_A"	124	23	65.46	0.551647583592174	2.62044241037376
"21040901G6A_bins.82.trim"	2064275	1801	"p__Bacillota"	85	13	70.51	0.550521205757019	1.68863463005339
"21040901G6A_bins.96.trim"	2550010	2194	"p__Bacillota_A"	117	17	99.68	0.581852240225004	1.15743707093822
"21040904G6B16_bins.103.trim"	2744841	2152	"p__Bacteroidota"	112	21	80.8	0.511996559940947	2.19389778794813
"21040904G6B16_bins.144.trim"	1144846	1136	"p__Actinomycetota"	122	27	63.99	0.539209575929742	1.63981693363844
"21040904G6B16_bins.147.trim"	2450167	2125	"p__Bacillota_A"	119	16	93.6	0.577284551825345	0.895041952707857
"21040904G6B16_bins.19.trim"	2408295	1988	"p__Bacteroidota"	110	31	90.6	0.51329896250024	1.57070938215103
"21040904G6B16_bins.57.trim"	1733586	1595	"p__Bacillota"	104	18	97.7	0.588955710692811	1.01906941266209
"21040904G6B16_bins.79.trim"	2018600	1654	"p__Bacteroidota"	131	25	78.22	0.543695865279592	2.47673531655225
"21040904G6B16_bins.92.trim"	2415707	2174	"p__Bacillota_A"	138	24	99.05	0.562170457935071	1.85781845919146
"21040904G6B16_bins.99.trim"	1245473	1263	"p__Bacillota"	75	12	94.09	0.507519239968499	1.58504958047292
"21041301G5M3_bins.122.trim"	2438779	1913	"p__Bacteroidota"	98	25	86.81	0.515532341077819	2.08451563691838
"21041301G5M3_bins.34.trim"	1461193	1386	"p__Actinomycetota"	104	17	66.87	0.521792728075603	1.18932112890923
"21041301G5M3_bins.7.trim"	1846409	1747	"p__Bacillota_C"	123	26	78.82	0.543764212487677	1.83752860411899
"21041501G4B09_bins.125.trim"	2291314	2073	"p__Bacillota_A"	116	17	92.22	0.564871246485369	1.00167810831426
"21041501G4B09_bins.133.trim"	2699506	2098	"p__Bacteroidota"	129	32	87.22	0.563510750218855	2.41906941266209
"21041501G4B09_bins.162.trim"	2591727	2365	"p__Bacillota_C"	162	15	92.34	0.509008323634963	1.65644546147979
"21041501G4B09_bins.171.trim"	1959346	1964	"p__Bacillota"	127	24	95.1	0.561579368271174	1.90373760488177
"21041501G4B09_bins.172.trim"	1240463	1345	"p__Bacillota"	56	11	76.85	0.476645463289002	0.232189168573608
"21041501G4B09_bins.33.trim"	2079246	2043	"p__Bacillota_A"	107	23	96.27	0.511514839388393	1.34462242562929
"21041501G4B09_bins.55.trim"	861209	989	"p__Bacillota"	75	12	76.33	0.497868095176472	0.67673531655225
"21041501G4B09_bins.89.trim"	1533693	1439	"p__Bacillota_A"	119	23	85.05	0.585456356672396	2.34294431731503
"21050401G6A_bins.119.trim"	2046596	1547	"p__Bacteroidota"	93	27	63.39	0.542850515687577	3.05949656750572
"21050401G6A_bins.48.trim"	1554992	1326	"p__Actinomycetota"	110	21	55.16	0.506693541408336	2.43768115942029
"21050401G6A_bins.54.trim"	1948915	1963	"p__Campylobacterota"	73	21	76.62	0.442916204414171	2.60411899313501
"21050401G6A_bins.66.trim"	1873614	1680	"p__Actinomycetota"	127	20	50.76	0.577786404058884	1.50907704042715
"21050704G6M2_bins.131.trim"	1216726	1227	"p__Bacillota_A"	97	18	55.47	0.499644630319858	2.38901601830664
"21050704G6M2_bins.133.trim"	2833125	2269	"p__Bacteroidota"	114	38	85.7	0.510541381062301	2.92219679633867
"21050704G6M2_bins.47.trim"	1884087	1852	"p__Campylobacterota"	89	25	94.37	0.481182557218271	2.33897787948131
"21050704G6M2_bins.85.trim"	1951227	1812	"p__Bacillota_A"	119	19	96.1	0.593837236563389	1.79618611746758
"21051301G5A_bins.17.trim"	1953756	1613	"p__Bacteroidota"	100	22	65.63	0.509956105175763	1.27337909992372
"21051301G5A_bins.58.trim"	1963454	1825	"p__Bacillota_C"	114	22	87.7	0.496804974000261	1.11731502669718
"21051401G5B16_bins.35.trim"	2590624	2371	"p__Bacillota_A"	131	28	90.26	0.526911411621232	2.76353928299008
"21051401G5B16_bins.62.trim"	1890891	1586	"p__Bacteroidota"	118	30	77.93	0.509683606642319	2.48588863463005
"21051402G5B13_bins.126.trim"	1711919	1587	"p__Bacillota_A"	126	13	99.86	0.587820401726245	1.04759725400458
"21051402G5B13_bins.134.trim"	1177390	1309	"p__Bacillota"	65	11	86.31	0.489818400736002	0.421357742181541
"21051902G6B16_bins.113.trim"	1576635	1252	"p__Bacteroidota"	60	18	64.52	0.422264120096989	2.54645308924485
"21051902G6B16_bins.46.trim"	2735517	2059	"p__Bacteroidota"	111	31	75.29	0.524427905130576	2.51197559115179
"21052001G6A13_bins.18.trim"	1847525	2004	"p__Bacillota"	54	13	65.07	0.441553925631209	1.38199847444699
"21052001G6A13_bins.38.trim"	1960681	1745	"p__Pseudomonadota"	117	26	93.65	0.480405452459437	2.21693363844394
"21052001G6A13_bins.97.trim"	1581677	1297	"p__Bacillota_A"	102	16	96.86	0.562367877418174	2.19420289855072
"21052003G6A16_bins.117.trim"	1900122	1757	"p__Actinomycetota"	123	23	89.79	0.544600347449353	2.4465293668955
"21052003G6A16_bins.123.trim"	2234801	1774	"p__Bacteroidota"	94	21	76.61	0.51548802641428	1.23051106025934
"21052003G6A16_bins.42.trim"	1462502	1478	"p__Bacillota_A"	94	20	62.97	0.545960361095827	1.45675057208238
"21052003G6A16_bins.59.trim"	1712626	1514	"p__Bacillota"	101	17	94.76	0.590897254376099	1.02913806254767
"21052103G5A_bins.3.trim"	2356608	2225	"p__Bacillota_A"	129	23	96.21	0.581979869674561	1.25507246376812
"21052506G4D_bins.32.trim"	1260467	1250	"p__Actinomycetota"	72	20	74.23	0.453804155203259	2.29687261632342
"21052506G4D_bins.44.trim"	2773888	2408	"p__Bacteroidota"	127	17	73.07	0.499908973764376	0.938977879481312
"21052701G5B13_bins.78.trim"	2156019	1918	"p__Bacillota_A"	114	17	93.25	0.504562314766904	2.15957284515637
"21052701G5B13_bins.8.trim"	2796248	2196	"p__Bacteroidota"	107	27	87.63	0.508255374329655	1.60533943554539
"21070801G5M3_bins.124.trim"	1078620	1111	"p__Bacillota_A"	99	17	96.96	0.512691164293894	1.51990846681922
"21070801G5M3_bins.46.trim"	2354100	1955	"p__Bacteroidota"	114	17	79.3	0.530800350587689	1.34462242562929
"21070801G6B_bins.26.trim"	2104251	2048	"p__Spirochaetota"	154	26	95.9	0.56846144320996	2.07978642257818
"21070801G6B_bins.93.trim"	2433775	2035	"p__Bacteroidota"	100	30	83.36	0.472179689285719	2.09733028222731
"21070802G6A_bins.99.trim"	1381015	1191	"p__Bacillota"	73	14	88.06	0.521065297036628	0.900381388253242
"21070803G5B13_bins.60.trim"	962222	880	"p__Bacillota_A"	66	16	97.07	0.493540742183899	0.645156369183829
"21070803G5B13_bins.64.trim"	1070844	931	"p__Bacillota_A"	50	14	97.02	0.445393790946799	1.23554538520214
"21070803G5B13_bins.93.trim"	2008119	1700	"p__Bacteroidota"	101	30	86.5	0.51393837469871	3.04012204424104
"21070803G6A16_bins.107.trim"	2336065	1983	"p__Pseudomonadota"	144	28	90.43	0.464671475538421	2.25446224256293
"21070803G6A16_bins.162.trim"	877315	831	"p__Bacillota_A"	63	13	98.96	0.483368835043848	0.688176964149504
"21070803G6A16_bins.84.trim"	2093188	1968	"p__Bacillota_A"	122	24	80.15	0.511713319474647	2.64576659038902
"21070804G6A16_bins.112.trim"	2045096	1667	"p__Bacteroidota"	92	16	70.99	0.493942185685088	1.28604118993135
"21070804G6A16_bins.42.trim"	1151361	1100	"p__Actinomycetota"	82	16	58.19	0.478269744885499	2.60274599542334
"21070804G6A16_bins.78.trim"	2342402	2256	"p__Bacillota_A"	113	11	89.46	0.52890342086517	1.66315789473684
"21070804G6A16_bins.86.trim"	2554488	2547	"p__Bacillota_A"	136	25	53.52	0.570520274676895	1.70358504958047
"21070901G5M3_bins.89.trim"	1460983	1331	"p__Bacillota"	73	14	87.75	0.5270098440292	0.941113653699466
"21071004G6A13_bins.48.trim"	2429768	2071	"p__Bacillota_A"	115	22	99.84	0.573960545987622	1.8091533180778
"21071004G6A13_bins.91.trim"	1990590	1798	"p__Bacillota_C"	142	26	92.04	0.551791221682522	2.05949656750572
"21071102G5A_bins.100.trim"	1939065	2041	"p__Bacillota"	104	20	84.62	0.509896947625122	1.72479023646072
"21071102G5A_bins.117.trim"	2331754	2340	"p__Bacillota_A"	183	27	74.78	0.560332144600967	1.96613272311213
"21071102G5A_bins.122.trim"	1669633	1664	"p__Bacillota_A"	133	21	73.78	0.582995195691326	1.71106025934401
"21071102G5A_bins.152.trim"	2322176	2228	"p__Bacillota_C"	180	24	88.13	0.530595149584559	2.2045766590389
"21071102G5A_bins.155.trim"	1310349	1535	"p__Bacillota"	95	14	56.11	0.561238767076626	1.34126620900076
"21071102G5A_bins.158.trim"	1956407	1447	"p__Bacteroidota"	88	23	71.94	0.532906919147038	1.50724637681159
"21071102G5A_bins.39.trim"	2704439	2106	"p__Bacteroidota"	121	27	96.98	0.539128998350187	2.61891685736079
"21071102G5A_bins.43.trim"	2671561	2588	"p__Bacillota_A"	106	23	97.52	0.520314584760926	1.14538520213577
"21071102G5A_bins.44.trim"	1637625	1509	"p__Thermoplasmatota"	80	10	94.03	0.456790875571303	0.803508771929825
"21071102G5A_bins.77.trim"	2672949	2461	"p__Bacillota_A"	139	25	91.51	0.534609507867503	2.95591151792525
"21081301G6M2_bins.117.trim"	2096286	1727	"p__Bacteroidota"	108	18	70.96	0.542686490701582	0.696872616323417
"21081301G6M2_bins.19.trim"	2036674	1998	"p__Bacillota"	115	14	94.2	0.547685250988911	1.12143401983219
"21081301G6M2_bins.48.trim"	1992795	1701	"p__Bacillota"	82	16	88.6	0.552192534065582	1.22181540808543
"21081302G6A16_bins.108.trim"	2103398	1765	"p__Bacteroidota"	84	20	66.14	0.48148394049347	2.08512585812357
"21081302G6A16_bins.147.trim"	1236046	1109	"p__Bacillota"	94	13	98.65	0.569346621552649	1.58871090770404
"21081302G6A16_bins.48.trim"	2113655	1869	"p__Bacillota_A"	115	23	78.42	0.5458181126729	1.72890922959573
"21081302G6A16_bins.54.trim"	2884466	2546	"p__Bacillota_A"	152	22	78.19	0.565465255801327	1.85614035087719
"21081303G6B16_bins.14.trim"	2021463	1649	"p__Bacteroidota"	87	21	74.12	0.519356609743522	1.48588863463005
"21081303G6B16_bins.46.trim"	1892701	1545	"p__Bacteroidota"	120	20	78.06	0.452079718896215	1.8419527078566
"21081303G6B16_bins.89.trim"	2141628	2075	"p__Bacillota"	123	15	90.15	0.543966052180947	1.95575896262395
"21082103G6M2_bins.13.trim"	2554236	2123	"p__Bacillota_A"	148	25	97.21	0.564115146524743	2.03081617086194
"21082103G6M2_bins.144.trim"	2693040	2335	"p__Bacillota_A"	143	27	96.41	0.586759003237197	2.55179252479024
"21082103G6M2_bins.38.trim"	2456074	1932	"p__Bacteroidota"	90	29	91.92	0.502458030423809	2.52326468344775
"21082103G6M2_bins.77.trim"	1127248	961	"p__Bacillota_A"	47	15	96.22	0.394254331461891	0.209153318077803
"21082103G6M2_bins.78.trim"	3063185	2514	"p__Fibrobacterota"	122	25	99.42	0.512429480153326	1.82379862700229
"21082103G6M2_bins.90.trim"	1068549	1163	"p__Bacillota"	53	11	93.53	0.461412337897056	0.213882532418002
"21082103G6M2_bins.94.trim"	1601071	1506	"p__Bacillota_A"	109	25	69.49	0.514305478758139	2.48497330282227
"21082103G6M2_bins.99.trim"	1864507	1728	"p__Bacillota_A"	131	23	95.64	0.581891310532272	1.70724637681159
"21082105G6B16_bins.124.trim"	1911360	1713	"p__Bacillota_A"	117	18	96.23	0.596416062192031	1.67078565980168
"21082105G6B16_bins.129.trim"	1991373	1970	"p__Bacillota"	124	18	91.83	0.565454724003317	2.33562166285278
"21082105G6B16_bins.135.trim"	1208394	1380	"p__Bacillota"	65	9	83.28	0.494439911568342	0.90556826849733
"21082105G6B16_bins.156.trim"	1093068	1177	"p__Bacillota"	55	12	86.58	0.446426229365223	1.82623951182304
"21082105G6B16_bins.15.trim"	2153694	2013	"p__Bacillota_C"	177	25	95.4	0.516905356224053	2.42745995423341
"21082105G6B16_bins.161.trim"	1701496	1655	"p__Campylobacterota"	106	30	96.37	0.469168099376334	2.13577421815408
"21082105G6B16_bins.21.trim"	1062235	983	"p__Bacillota"	75	14	99.43	0.527549282523536	0.659801678108314
"21082105G6B16_bins.25.trim"	1319884	1338	"p__Bacillota_A"	124	20	58.03	0.570532439027092	2.33089244851259
"21082105G6B16_bins.52.trim"	1846702	1873	"p__Bacillota"	125	23	85.94	0.570834439564806	1.99023646071701
"21082105G6B16_bins.59.trim"	1585822	1495	"p__Bacillota_A"	72	17	85.07	0.474662044516238	1.2695652173913
"21082105G6B16_bins.81.trim"	2097479	2178	"p__Bacillota"	115	19	89.26	0.530696245052031	1.33638443935927
"21082801G6B_bins.120.trim"	2789098	2318	"p__Bacteroidota"	100	33	77.19	0.467886815569921	2.01022120518688
"21082801G6B_bins.127.trim"	1528215	1462	"p__Actinomycetota"	98	17	61.42	0.530208315939771	1.37009916094584
"21082801G6B_bins.142.trim"	3042135	2778	"p__Bacteroidota"	135	31	84.08	0.547524080187304	3.10144927536232
"21082801G6B_bins.42.trim"	1993519	1635	"p__Bacteroidota"	93	18	74.51	0.477900318691366	1.00091533180778
"21082801G6B_bins.47.trim"	1631014	1523	"p__Bacillota_A"	92	17	81.92	0.550626523095724	0.549199084668192
"21082801G6B_bins.99.trim"	2200433	1977	"p__Bacillota_A"	135	21	97	0.594156696752928	1.61250953470633
"21082901G5M3_bins.61.trim"	1248189	1220	"p__Actinomycetota"	126	14	59.88	0.560178301139264	2.37528604118993
"21082901G5M3_bins.88.trim"	1106602	1255	"p__Bacillota"	76	17	82.49	0.506934752369746	1.42105263157895
"21082902G6M2_bins.55.trim"	1748829	1793	"p__Bacillota"	114	25	69.85	0.572974301394149	2.63676582761251
"21082903G6A16_bins.57.trim"	1404376	1199	"p__Bacillota_A"	49	12	82.1	0.460435029479042	0.734858886346301
"21082904G6B16_bins.115.trim"	2659627	1939	"p__Bacteroidota"	100	21	80.97	0.521126271793679	1.03463005339436
"21082904G6B16_bins.50.trim"	2931219	2452	"p__Bacillota_A"	134	16	98.12	0.564780688369304	1.68176964149504
"21082904G6B16_bins.59.trim"	1246833	1170	"p__Bacillota"	101	16	82.49	0.584151926952673	1.01495041952708
"21110301G5B13_bins.12.trim"	1816139	1764	"p__Cyanobacteriota"	121	23	96.4	0.459848264607816	1.76948893974066
"21110301G5B13_bins.141.trim"	1528242	1271	"p__Bacillota_A"	113	14	94.22	0.578543190474095	2.18962623951182
"21110301G5B13_bins.39.trim"	1061623	1094	"p__Bacillota_A"	82	15	84.11	0.511252676110668	1.41586575133486
"21110301G5B13_bins.88.trim"	1083133	1131	"p__Pseudomonadota"	95	19	76.6	0.45827522175233	1.74660564454615
"21110401G6A19_bins.114.trim"	2451557	2394	"p__Bacillota_C"	189	23	89.23	0.505669269310053	1.90648360030511
"21110401G6A19_bins.46.trim"	1790181	1759	"p__Bacillota_A"	117	32	83.42	0.558626816894691	1.98688024408848
"21110401G6A19_bins.77.trim"	2513536	1994	"p__Bacteroidota"	101	24	95.79	0.494285058943022	2.24332570556827
"21110401G6A19_bins.80.trim"	2489900	2171	"p__Bacillota_A"	119	16	77.85	0.581214473991353	1.14950419527079
"21110402G6A16_bins.115.trim"	1749164	1756	"p__Bacillota_A"	117	13	64.11	0.583182275560557	2.17482837528604
"21110402G6A16_bins.54.trim"	1201567	1204	"p__Bacillota"	109	17	94.55	0.574018916320863	2.72387490465294
"21110702G6A_bins.42.trim"	2171681	2185	"p__Bacillota_A"	133	19	78.81	0.584147572506021	1.72387490465294
"21110803G6A19_bins.43.trim"	1933310	1810	"p__Actinomycetota"	112	14	67.1	0.548412213189398	1.56247139588101
"21110803G6A19_bins.48.trim"	2528046	2254	"p__Spirochaetota"	110	22	94.76	0.581010798511776	1.85171624713959
"21110804G6A_bins.101.trim"	1746816	1534	"p__Bacillota"	125	17	91.67	0.580756719285829	1.74340198321892
"21110804G6A_bins.44.trim"	2573438	2391	"p__Spirochaetota"	177	32	98.72	0.535328533668989	2.61708619374523
"21110804G6A_bins.63.trim"	2689990	2114	"p__Bacteroidota"	112	26	82.85	0.532698296483905	2.11472158657513
"21111801G6B_bins.122.trim"	2288654	2130	"p__Bacillota_A"	99	13	90.15	0.539092636070461	0.971929824561404
"21111801G6B_bins.125.trim"	1012541	1029	"p__Actinomycetota"	113	16	52.98	0.549489458004055	1.51731502669718
"21112201G6B_bins.10.trim"	1904777	1745	"p__Bacillota_A"	131	25	93.87	0.570312188712142	2.29092295957285
"21112201G6B_bins.44.trim"	2464794	2329	"p__Bacillota_A"	145	23	93.27	0.565869428351176	1.88512585812357
"21112201G6B_bins.4.trim"	1299279	1236	"p__Bacillota_A"	115	18	50.45	0.562833079009476	1.78504958047292
"21112201G6B_bins.91.trim"	2220725	1987	"p__Bacillota_A"	122	18	85.2	0.584861586425052	1.42608695652174
"21112501G5A_bins.19.trim"	1949644	1629	"p__Bacteroidota"	106	30	86.82	0.507971713765059	3.58321891685736
"21112501G5A_bins.24.trim"	1694907	1571	"p__Bacillota"	107	17	96.85	0.565596117521471	1.96720061022121
"21112501G5A_bins.36.trim"	2095718	1751	"p__Bacteroidota"	99	30	86.72	0.486079751389782	2.20213577421815
"21112501G5A_bins.51.trim"	2989012	2489	"p__Bacteroidota"	131	27	84.94	0.527486301693019	2.80762776506484
"21112501G5A_bins.88.trim"	1995840	1604	"p__Bacteroidota"	81	21	66.02	0.467717250091677	1.29687261632342
"21112501G5A_bins.91.trim"	2247986	1898	"p__Bacteroidota"	124	19	70.51	0.51804446014242	1.37742181540809
"22010205G6B16_bins.54.trim"	3233745	2854	"p__Bacillota_A"	151	18	77.31	0.557912766858281	1.14614797864226
"22010205G6B16_bins.97.trim"	2642795	2091	"p__Bacteroidota"	96	22	91.8	0.496836318498831	2.02044241037376
"22010801G6A16_bins.111.trim"	2387760	2206	"p__Bacillota_A"	145	24	76.52	0.561943539400991	2.03279938977879
"22010801G6A16_bins.128.trim"	1924458	1607	"p__Bacteroidota"	92	31	69	0.463602969950765	2.02181540808543
"22010801G6A16_bins.138.trim"	1737867	1554	"p__Bacillota"	81	17	87.2	0.508817927839518	1.73790999237223
"22010801G6A16_bins.85.trim"	1738585	1537	"p__Bacillota"	90	16	92.66	0.557937086863656	1.62990083905416
"22010901G4B12_bins.9.trim"	1837303	1657	"p__Bacillota_A"	103	18	66.92	0.521665207098162	1.32707856598017
"22010903G4B12_bins.35.trim"	2305886	1686	"p__Bacteroidota"	99	31	84.47	0.494556801955083	2.93699466056445
"22011201G5A_bins.131.trim"	2488995	2101	"p__Bacillota_A"	113	25	98.42	0.526782035519818	2.09900839054157
"22011201G5A_bins.70.trim"	2060339	1986	"p__Bacillota_A"	127	22	89.46	0.546470738411849	1.71014492753623
"22011201G5A_bins.77.trim"	2045524	1779	"p__Bacteroidota"	102	22	65.65	0.549061269792706	2.38398169336384
"22011401G6B_bins.105.trim"	2669056	2315	"p__Bacillota_A"	161	29	96.18	0.540119482744741	2.40091533180778
"22011401G6B_bins.194.trim"	2787741	2342	"p__Bacillota_A"	138	29	94.68	0.564480258452932	2.01586575133486
"22011401G6B_bins.57.trim"	2225306	1852	"p__Bacillota_A"	101	23	97.29	0.505259745394358	2.32356979405034
"22011401G6B_bins.78.trim"	2488546	2154	"p__Bacillota_A"	123	20	92.76	0.567934483032193	3.05156369183829
"22011401G6B_bins.9.trim"	1507530	1224	"p__Bacteroidota"	101	31	61.41	0.513342542137075	2.69122807017544
"22011702G4D_bins.103.trim"	1352529	1218	"p__Bacillota"	82	12	89.06	0.550468494443393	1.2187643020595
"22011702G4D_bins.121.trim"	1586086	1470	"p__Actinomycetota"	129	26	81.89	0.562436870524688	2.04332570556827
"22011702G4D_bins.35.trim"	1616957	1332	"p__Bacteroidota"	106	16	56.69	0.54206222330011	0.883447749809306
"22011702G4D_bins.62.trim"	1542033	1400	"p__Actinomycetota"	107	24	93.9	0.55123872950691	3.18947368421053
"22011704G4B_bins.22.trim"	1353493	1259	"p__Bacillota_A"	70	9	99.24	0.444526052390803	0.663768115942029
"22011704G4B_bins.99.trim"	2444696	2168	"p__Bacillota_A"	125	20	58.18	0.551842137134544	2.10739893211289
"22012902G6A19_bins.112.trim"	2540819	1933	"p__Bacteroidota"	129	32	99.07	0.555627243966283	2.77574370709382
"22012902G6A19_bins.15.trim"	1398217	1169	"p__Actinomycetota"	95	20	95.19	0.556833830426174	1.35682684973303
"22012902G6A19_bins.187.trim"	2485784	2366	"p__Bacillota_A"	159	23	75.57	0.545864865254398	2.24363081617086
"22012902G6A19_bins.19.trim"	2583019	2175	"p__Bacillota_A"	134	26	86.81	0.554625875471242	1.59466056445461
"22012902G6A19_bins.88.trim"	2499449	1963	"p__Bacteroidota"	100	21	70.85	0.524002255516667	1.86636155606407
"A010_bin.11.filtered"	2343283	2325	"p__Bacillota_A"	137	24	68.03	0.577227812893896	2.61571319603356
"A010_bin.12.filtered"	2030237	1835	"p__Bacillota_A"	117	17	71.12	0.532865124707226	1.54477498093059
"A010_bin.172.filtered"	1883835	1737	"p__Bacillota_A"	129	19	98.84	0.606907311494376	1.15667429443173
"A010_bin.178.filtered"	2323849	2129	"p__Bacillota_A"	152	20	77.9	0.556204111035779	1.47078565980168
"A010_bin.199.filtered"	1123914	1090	"p__Bacillota"	89	12	94.93	0.560262766975737	2.13760488176964
"A010_bin.20.filtered"	2151838	1919	"p__Bacillota_A"	113	13	99.92	0.591294443230372	0.969336384439359
"A010_bin.210.filtered"	1630569	1603	"p__Bacillota_A"	142	22	73.16	0.588424215197256	1.95087719298246
"A010_bin.251.filtered"	1849444	1812	"p__Bacillota_A"	94	20	96.17	0.514090681899439	2.66910755148741
"A010_bin.6.filtered"	2364606	2214	"p__Bacillota_A"	156	23	91.15	0.587645008854104	2.05812356979405
"A013_bin.122.filtered"	2011302	1940	"p__Bacillota_A"	128	19	94.1	0.610285039642209	1.27292143401983
"A013_bin.197.filtered"	2675023	2545	"p__Bacillota_A"	155	30	85.39	0.585160913702725	2.05842868039664
"A013_bin.236.filtered"	1813645	1687	"p__Bacillota_A"	110	16	95.49	0.614225906388549	1.01022120518688
"A013_bin.241.filtered"	3295840	2962	"p__Bacillota_A"	128	16	83.72	0.588058828695449	1.47246376811594
"A013_bin.242.filtered"	1930548	1835	"p__Bacillota_A"	150	23	71.52	0.587301331819857	2.0929061784897
"A013_bin.248.filtered"	3062271	2781	"p__Bacillota_A"	143	25	96.88	0.554329068088734	2.6929061784897
"A013_bin.42.filtered"	1622556	1418	"p__Actinomycetota"	128	20	80.21	0.559366026876781	2.01113653699466
"A013_bin.63.filtered"	2171742	1773	"p__Bacillota_A"	127	17	97.92	0.619776816188899	0.87490465293669
"A013_bin.64.filtered"	1713305	1527	"p__Bacillota_A"	101	14	94.39	0.581085665114888	1.17116704805492
"A016_bin.94.filtered"	2128110	1614	"p__Bacteroidota"	107	21	76.85	0.497475867367243	2.25446224256293
"A020_bin.105.filtered"	2926934	2959	"p__Bacillota_A"	157	27	67.24	0.570980267699063	1.78642257818459
"A020_bin.108.filtered"	1483855	1286	"p__Actinomycetota"	105	14	72.91	0.575217570374958	1.50495804729214
"A020_bin.163.filtered"	1946449	1797	"p__Bacillota_A"	137	25	99.2	0.592467222079	1.88771929824561
"A020_bin.183.filtered"	1809717	1692	"p__Bacillota_A"	107	14	97.55	0.596796570168479	0.982608695652174
"A023_bin.103.filtered"	2677026	2535	"p__Bacillota_A"	102	19	89.31	0.540096912330485	1.28009153318078
"A027_bin.111.filtered"	2236051	1836	"p__Bacteroidota"	138	27	98.8	0.571043787029498	1.80381388253242
"A027_bin.130.filtered"	2483435	2322	"p__Bacillota_A"	145	21	90.2	0.532793814471924	1.91533180778032
"A027_bin.64.filtered"	2941664	2688	"p__Bacillota_A"	107	20	95.57	0.541001311556949	1.09244851258581
